Specimen Collection Date,Case Disposition,Transmission Category,Case Count,Last Updated At
2020/06/14,Confirmed,Community,8,07/23/2020 03:15:02 PM
2020/06/14,Confirmed,From Contact,7,07/23/2020 03:15:02 PM
2020/06/15,Confirmed,From Contact,20,07/23/2020 03:15:02 PM
2020/06/15,Confirmed,Community,15,07/23/2020 03:15:02 PM
2020/06/16,Confirmed,From Contact,21,07/23/2020 03:15:02 PM
2020/06/16,Confirmed,Community,27,07/23/2020 03:15:02 PM
2020/06/17,Confirmed,Community,29,07/23/2020 03:15:02 PM
2020/06/17,Confirmed,Unknown,1,07/23/2020 03:15:02 PM
2020/06/17,Confirmed,From Contact,21,07/23/2020 03:15:02 PM
2020/06/18,Death,Community,1,07/23/2020 03:15:02 PM
2020/06/18,Confirmed,From Contact,9,07/23/2020 03:15:02 PM
2020/06/18,Confirmed,Community,34,07/23/2020 03:15:02 PM
2020/06/19,Confirmed,Unknown,1,07/23/2020 03:15:02 PM
2020/06/19,Confirmed,Community,25,07/23/2020 03:15:02 PM
2020/06/19,Confirmed,From Contact,18,07/23/2020 03:15:02 PM
2020/06/20,Confirmed,From Contact,14,07/23/2020 03:15:02 PM
2020/06/20,Confirmed,Community,27,07/23/2020 03:15:02 PM
2020/06/21,Confirmed,From Contact,15,07/23/2020 03:15:02 PM
2020/06/21,Confirmed,Community,17,07/23/2020 03:15:02 PM
2020/06/22,Confirmed,From Contact,34,07/23/2020 03:15:02 PM
2020/06/22,Confirmed,Community,67,07/23/2020 03:15:02 PM
2020/06/22,Confirmed,Unknown,3,07/23/2020 03:15:02 PM
2020/06/23,Confirmed,From Contact,25,07/23/2020 03:15:02 PM
2020/06/23,Confirmed,Community,45,07/23/2020 03:15:02 PM
2020/06/23,Confirmed,Unknown,7,07/23/2020 03:15:02 PM
2020/06/24,Confirmed,From Contact,26,07/23/2020 03:15:02 PM
2020/06/24,Confirmed,Unknown,7,07/23/2020 03:15:02 PM
2020/06/24,Confirmed,Community,26,07/23/2020 03:15:02 PM
2020/06/25,Confirmed,Community,39,07/23/2020 03:15:02 PM
2020/06/25,Confirmed,Unknown,1,07/23/2020 03:15:02 PM
2020/06/25,Confirmed,From Contact,24,07/23/2020 03:15:02 PM
2020/06/26,Confirmed,Community,39,07/23/2020 03:15:02 PM
2020/06/26,Confirmed,From Contact,31,07/23/2020 03:15:02 PM
2020/06/27,Confirmed,From Contact,14,07/23/2020 03:15:02 PM
2020/06/27,Confirmed,Community,34,07/23/2020 03:15:02 PM
2020/06/27,Confirmed,Unknown,2,07/23/2020 03:15:02 PM
2020/06/28,Confirmed,Community,19,07/23/2020 03:15:02 PM
2020/06/28,Confirmed,From Contact,15,07/23/2020 03:15:02 PM
2020/06/29,Confirmed,Community,44,07/23/2020 03:15:02 PM
2020/06/29,Confirmed,Unknown,2,07/23/2020 03:15:02 PM
2020/06/29,Confirmed,From Contact,26,07/23/2020 03:15:02 PM
2020/06/30,Confirmed,Community,55,07/23/2020 03:15:02 PM
2020/06/30,Confirmed,Unknown,5,07/23/2020 03:15:02 PM
2020/06/30,Confirmed,From Contact,35,07/23/2020 03:15:02 PM
2020/07/01,Confirmed,Unknown,8,07/23/2020 03:15:02 PM
2020/07/01,Confirmed,From Contact,29,07/23/2020 03:15:02 PM
